	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3
ENSSSAG00000000375	21	61.1568	46.6953	9	2.69327	18.5438
ENSSSAG00000000376	362.916	841.677	396.824	130.514	123.091	111.427
ENSSSAG00000000377	61.2828	334.301	131.558	28.0155	30.3833	39.5732
ENSSSAG00000000378	517	707	359	1	2	2
ENSSSAG00000000380	78.63989741	118.0995	77.17836789	6.20331	12.10726	8.14217
ENSSSAG00000000381	149.059	300.63	125.828	30.8171	29.9377	12.1168
ENSSSAG00000000382	267.44957	895.9182	344.002	97.6064	115.1223	108.2917
ENSSSAG00000000384	819.561	2710.61	544	267.869	242	247
ENSSSAG00000000385	406.195	912.903	715.5920001	158	133.983	141.847
ENSSSAG00000000387	670.03514	2595.8486	588.84255	184.59797	257.4283	175.38298
ENSSSAG00000000388	46.7104	86.5548	91.3937	37.91205	25.09265	23.89654
ENSSSAG00000000389	62	110.033	51.1531	20.4161	20	6
ENSSSAG00000000391	490	557	579	101	100	84
ENSSSAG00000000392	65.99612	111.38793	89.83837	39.33	37.4713	36.21232
ENSSSAG00000000395	33.418	54.3496	38.3788	1780.94	1773	1506.07
ENSSSAG00000000398	11.6197	6.25053	18.5033	0	0	0
ENSSSAG00000000399	126.6226	52.4445	489.544	22.50926	12.50431	27.93526
ENSSSAG00000000402	235.55575	432.4905	988.28306	240.53445	118.871	110.26
ENSSSAG00000000403	535	868	647	83.99996	100	108.0000427
ENSSSAG00000000404	25.8603	19.50482	3.47876	2.02865	2.00949	0
ENSSSAG00000000406	33.00004079	36.15270017	32.00000091	13.00000027	9.075280544	7.000000216
ENSSSAG00000000408	5	3	149.238	1	3	1
ENSSSAG00000000409	4.65454	5.06524	3.12982	0	2	0
ENSSSAG00000000410	343.28457	963.075	467.26808	106.84507	126.5096	141.21556
ENSSSAG00000000411	3	7.25878	4.09127	3.08911	1.00533	7.08996
ENSSSAG00000000413	831.589	2830.73924	971.12	1042.45	1245.92	1086.45051
ENSSSAG00000000414	11.99997644	12.00003932	186.0001	0	5.000002899	3.000002929
ENSSSAG00000000415	8278.2	10663.3	5286.35	19.4854	16.2325	17.6649
ENSSSAG00000000423	493.0289	1801.253	737.0000414	277.6068	277.99984	228.0002034
ENSSSAG00000000424	36.7518	105.118	63.4791	19.9972	8.47347	12.7103
ENSSSAG00000000425	0	9.12814	0	0	0	0
ENSSSAG00000000426	8.90419	7.937286	0	0	0	0.0599309
ENSSSAG00000000429	63.0863	65.4415	72.1464	1.38497	3.00002	0
ENSSSAG00000000430	381.6055	966.522	406.1247	166.3711	175.8309	181.6518
ENSSSAG00000000431	2473.53562	17132.56262	4469.23949	559.6151	501.84885	445.9467519
ENSSSAG00000000432	270.73066	1005.1905	374.4611	250.287	331.844	391.654
ENSSSAG00000000434	140.3097053	426.999874	206.000226	73.00002	114.0000357	137.0004
ENSSSAG00000000436	1	2	3.82107	0	0	0
ENSSSAG00000000437	114	328	172	31	27	37
ENSSSAG00000000439	67.3689	34.5613	31.4476	0	1	1
ENSSSAG00000000442	117.5036	357.3058	135.8628001	87.3667	108.9447	67.34442037
ENSSSAG00000000446	157.55859	194.64997	146.16269	14.9066	13.9997	9.77883
ENSSSAG00000000450	189.194	561.07	230.568	117.618	143.614	123.645
ENSSSAG00000000454	345.5223	321.7793	393.7336	43.93842	56.9472	41.73259
ENSSSAG00000000456	173.0494	497.1189	272.6448	85.0503	102.1241	110.66019
ENSSSAG00000000459	204.00032	629.9998	310.00051	120	130.99994	104.99998
ENSSSAG00000000460	127.73232	73.2595	30.00003	3	5.00006553	0
ENSSSAG00000000467	220.8154	240.3854	259.7447	604.7839	301.38894	288.4329
ENSSSAG00000000468	7	7	17.00001	0	1	1
ENSSSAG00000000472	39.99999045	39.07146841	31.19914	2	5.00001	3.00017
ENSSSAG00000000473	91.6649	248.91499	141.02696	406.56689	377.89426	445.19932
ENSSSAG00000000474	422.4211	1352.788544	396.5088008	118.56999	105.5470084	107.62372
ENSSSAG00000000475	21.911	72.2609	30.9681	12.6964	5.72977	10.1031
ENSSSAG00000000481	2325.01	6732.04	3032.37	1708.68	1844.09	1971.2
ENSSSAG00000000483	311.0364	745.187	343.061	134.03716	111.99997	121.86064
ENSSSAG00000000484	29.3976	71.2383	48.462	16.3857	9.30593	11.2203
ENSSSAG00000000485	116.6748	262.121	193.016	247.016	330.578	311.589
ENSSSAG00000000486	329.11845	2173.68646	174.6195	229.06467	103.94723	112.0303816
ENSSSAG00000000487	221	487	458	137	167.392	126
ENSSSAG00000000489	14.2568	63.9238	20.3436	3.59141	1.60516	2.462
ENSSSAG00000000491	87	171.3864	283.5994	141.92044	209.07961	139.8462
ENSSSAG00000000493	6.99406	36.8287	22.8658	12.3006	2.16119	5.24914
ENSSSAG00000000495	16.1986	44.0126	32.7711	12.3157	10.262	19.4112
ENSSSAG00000000496	1634.557	4360.8492	1113.751	35.00006	53	45.99998762
ENSSSAG00000000497	0	3	4	0	1	0
ENSSSAG00000000498	124.791	326.8686	141.5058	537.8795	753.512172	665.49191
ENSSSAG00000000499	88.1504	255.5584	100.9603	51.9037	41.8385	40.14736
ENSSSAG00000000501	4.08555	3.35944	4.00078	1.00052	0	0
ENSSSAG00000000506	490.4525	1828.894161	576.774	248.655824	240.1118094	253.17262
ENSSSAG00000000508	500.7533	936.0711	538.91931	1524.4671	1684.5556	1591.1065
ENSSSAG00000000509	829.063	2131.254	1206.826	446.993	380.579	396.198
ENSSSAG00000000510	679.72	1309.83	516.818	180.364	192.451	129.336
ENSSSAG00000000511	565.7966047	1387.996483	558.0005151	97.9999922	86.00000009	83
ENSSSAG00000000513	36.033	601.471	34.0002	2.00562	4	2.00226
ENSSSAG00000000514	527.726	1517.6889	579.13839	163.5330105	245.414	145.931033
ENSSSAG00000000515	461	1024.7	455.793	97	91.2324	115.304
ENSSSAG00000000516	41.6371	22.8678	53.5377	8.38264	21.7042	9.63524
ENSSSAG00000000518	1044.0003	2280.9982	1067.9994	98.99996801	143.00001	151
ENSSSAG00000000519	155.05824	184.12093	220.2773	530.2493	100.71417	101.25279
ENSSSAG00000000522	11.0412	19.2637	261.562	11.0823	6.03259	4.09177
ENSSSAG00000000524	130.0742	272.8467	244.1476	115.25133	170.4817	109.9999
ENSSSAG00000000525	588.57682	1219.8837	582.2909	171.45326	127.222147	133.322
ENSSSAG00000000526	93.1538	179.47	62.8911	6.24889	6.52719	9.67831
ENSSSAG00000000527	13.8871	47.9353	10.3651	7.66733	16.2645	5.49696
ENSSSAG00000000529	11.8307	14.8113	11.9031	0	0	0
ENSSSAG00000000530	31.1496	29.02104	5.83835	0	4.00727	2.00047
ENSSSAG00000000532	122.04	345.31	162.46	32.3494	38.9131	35.0956
ENSSSAG00000000533	51.7499	61.5532	53.020314	5.065551	5.03365	7.02438
ENSSSAG00000000534	654.142	1828.31	838.941	463.442	455.69	457.142
ENSSSAG00000000536	653.2698	2142.70952	457.01217	128.8353156	145.0019107	89
ENSSSAG00000000541	0	0	0	0	0	0
ENSSSAG00000000543	27	119	36	2	4	3
ENSSSAG00000000544	76.7608	138.316	116.0619	8.202532	11.7184	14.90350085
ENSSSAG00000000545	306.3488	536.8269	245.658	23.2101	43.11104	9.19571
ENSSSAG00000000550	820	695	340	73	86	120
ENSSSAG00000000551	21.98851414	48.9759	49.5186	5.02427	8.39041	1.68313
ENSSSAG00000000553	230.30407	618.52973	200.2861	65.29899845	48.63256	45.01001
ENSSSAG00000000555	825.205	1474	581.516	143	145	100
ENSSSAG00000000556	8451.720899	22666.606	9967.316	3596.970464	3185.306706	3156.997201
ENSSSAG00000000557	45.9487	100.1508	50.1498	0	0	0
ENSSSAG00000000558	246.71246	758.78613	326.2862	55.11788	72.20612	59.30217
ENSSSAG00000000562	8.49423	2.09415	77.9976	0	0	0
ENSSSAG00000000564	457.7916	1267.8027	566.1013	137.7022	123.73958	119.70476
ENSSSAG00000000566	47	138.295	60	8	10	12
ENSSSAG00000000569	982.931	2228.741	1544.577	50.99998	40.06755	53.8766
ENSSSAG00000000570	353.583	1129.059	335.1171	90.8739	129.7604	86.7263
ENSSSAG00000000571	867.031	3564.982	750.105	15.35138	21.52809	22.82775
ENSSSAG00000000576	17.0343	44.6369	19.27372	2	2	5
ENSSSAG00000000580	0	9	2	3	0	1
ENSSSAG00000000581	153.0005	968.079	228.414	46.05422	39.0011	43.01703
ENSSSAG00000000582	295.8559	953.14693	315.4685	73.64653	93.483817	94.6696
ENSSSAG00000000589	8.96657	27.447	18.328648	22.4319	38.7987	34.6853
ENSSSAG00000000590	143.2783193	166.060597	183.403733	69	79.3797	37
ENSSSAG00000000591	55.350147	72.66277	29.08492	298.973079	175.7257	88.0916968
ENSSSAG00000000593	149.0622	303.8	214.2333	105.0574	110.541	136.81328
ENSSSAG00000000594	4	0	3	450.264	554.111	416.645
ENSSSAG00000000595	591.144	185.555	1012.28	1251.27	144.641	449.002
ENSSSAG00000000598	8.00023	5.0001	1	0	0	1
ENSSSAG00000000600	486.9638338	1983.66771	238.98626	17.97965	27.60667	15.88725
ENSSSAG00000000602	59.74466	75.57506051	94.6583	21.63617	25.58189266	18.94526
ENSSSAG00000000604	1301.7125	9618.68	866.23536	1	1	4
ENSSSAG00000000606	109.989	248.94	400.991	182.283	1.00334	110.058
ENSSSAG00000000610	271.271	749.24609	335.461	166.664	162.99984	173.127
ENSSSAG00000000613	210.81574	558.0529	324.8942	278.084	260.540169	232.673774
ENSSSAG00000000616	1	2	3	2	8	5
ENSSSAG00000000618	0	0	0	0	0	0
ENSSSAG00000000619	97.0768	169.224	56.1863	19.9518	19.0152	2.99829
ENSSSAG00000000620	1052.73163	1741.10495	775.54128	27.02792	15.17844	14.0791
ENSSSAG00000000623	237.37	981	295	37	30	45
ENSSSAG00000000625	0	0	0	0	0	0
ENSSSAG00000000626	45.99995	75	232.9999	16	14	19.99997
ENSSSAG00000000629	7.95361	31.6407	14.7907	7.75766	3	6
ENSSSAG00000000630	4	0	1	0	0	0
ENSSSAG00000000631	606.19442	1580.28	730	225.958	158.442	206
ENSSSAG00000000632	27.303	22	92	55	13	33
ENSSSAG00000000633	0	0	0	0	0	0
ENSSSAG00000000636	184.74	370.795	172.72	104.26	130.716	105.328
ENSSSAG00000000638	1	0	62	0	0	0
ENSSSAG00000000640	98.92652	310.2999	84.22749	10.96949	5.543482007	6.582476929
ENSSSAG00000000643	161	19.0012	49.0117	1	5	0
ENSSSAG00000000645	91	311.9995	81	38.99998	46.00002	29.00003
ENSSSAG00000000650	153.31354	377.48529	190.26364	15.8401	16.100309	15.084874
ENSSSAG00000000651	5.350004	28.6269	18.35998	16.945	7.74713	8.01521
ENSSSAG00000000652	0	0	0	0	0	0
ENSSSAG00000000654	89.8994512	194.6826566	29.75943868	15.99995321	10.08999257	11.99999426
ENSSSAG00000000656	13	41.11751	4	0	2	0
ENSSSAG00000000657	1422	2334.52	1207.0047	80	100	47.1872
ENSSSAG00000000659	216.317	632.272	228.4294	63.8205	84.6792	63.9583
ENSSSAG00000000660	422.734	935.015163	554.8806	320.23938	325.68659	360.44665
ENSSSAG00000000667	1947.0825	3602.09096	1854.8491	202.62696	432.4224	360.5233
ENSSSAG00000000669	5	36.6768	5	3	1.26159	2
ENSSSAG00000000672	0	0	0	0	0	0
ENSSSAG00000000673	1266.9991	3377.9982	3113.0006	3364.9964	4056.9977	3404.0008
ENSSSAG00000000674	2975.260637	15116.61958	1569.27033	1347.996095	1372.0583	1133.614019
ENSSSAG00000000677	6.94138	0	0	2.59302	0	0.446336
ENSSSAG00000000678	1279.5909	7934.6584	2010.0016	621	638.9858026	828.0003
ENSSSAG00000000679	10	7	5	0	0	0
ENSSSAG00000000682	1	4	0	0	1	1
ENSSSAG00000000686	50.09608079	143.0946	53.04485	6.03614	17.00118	49.00015529
ENSSSAG00000000687	833.9486702	2223.068652	1264.287604	1597.515	1339.5513	1304.53386
ENSSSAG00000000688	65.60121	2093.948	32.2057	0	1.52903	0
ENSSSAG00000000689	2022.347	4744.14	3327.543	5475.9	6187.53	5046.88
ENSSSAG00000000691	3285.59817	9450.2221	2718.30752	199.7291744	189.4778738	185.7836678
ENSSSAG00000000693	1289.253	2576.336	933.43703	43.76694	53.24496	31.1487
ENSSSAG00000000695	417.106	1408.38	992.421	143.568	113.91	121.513
ENSSSAG00000000697	117.203	185.722	227.695	53.6456	44.3471	32.9682
ENSSSAG00000000698	227.9998	426.0004	299.0002	3	2	1
ENSSSAG00000000701	63	388.925	153	116	165	96
ENSSSAG00000000703	113.491	348.0721	114.2577	6.22996	4.05044	5.29388
ENSSSAG00000000704	85.1119	189.218	103.902	37.1181	52.1227	37.3531
ENSSSAG00000000705	2698.745	10959.9	3781.08	1241.025	1386	1113.863
ENSSSAG00000000707	29.32870721	104.88006	42.69496321	6.48127	2.414440293	9.35514964
ENSSSAG00000000708	360.64435	1153.454802	509.58587	83.5264	120.9744	101.16501
ENSSSAG00000000709	0	0	0	0	0	0
ENSSSAG00000000710	588.0077	1717.36	569.0003	147.0005	182.0000001	172
ENSSSAG00000000711	210.582642	451.8581543	1045.96768	80.95609454	81.82796384	102.692
ENSSSAG00000000712	2698.945261	8185.442857	3208.838945	654.752118	1046.36355	733.4633612
ENSSSAG00000000715	0	0	0	0	0	0
ENSSSAG00000000716	123.959	407.6800005	128.261888	22.7292336	17.9518	21.6655093
ENSSSAG00000000719	16.32612	43.9467	1403.222	656.141	993.804	300.3372
ENSSSAG00000000720	1004.4824	2350.7962	1272.856	919.1792	949.66974	776.1714
ENSSSAG00000000721	378.479607	759.720112	375.879724	1053.212611	1064.820073	1080.769345
ENSSSAG00000000724	36.1112	55.41024	36.3026	55.5157	82.7731	27.28153
ENSSSAG00000000725	3	23.9597	8.01792	0	0	0
ENSSSAG00000000727	0	0	0	0	0	0
ENSSSAG00000000728	3382.437614	7458.511466	3569.999073	1476.999918	1852.000373	1328.997895
ENSSSAG00000000729	231.46	1106.64	149.216	12.9471	12.0827	8.31307
ENSSSAG00000000731	6.48097	7.6919	7.55201	3.63446	0	6.35253
ENSSSAG00000000733	134.2366	432.464	139.2239	95.8176	82.9357	71.1196
ENSSSAG00000000734	6.132292445	11.47070202	9.037085307	7.342432923	6.245468115	7.29864791
ENSSSAG00000000735	69.25412	6.897552	5.97248	0	3.03796	1.06093
ENSSSAG00000000738	0	0	0	0	0	0
ENSSSAG00000000739	225.0327	568.09201	305.0233	143.00003	170.07335	135
ENSSSAG00000000743	527.305	555.0295	342.7381	1	2	0.9999998
ENSSSAG00000000746	10	1009.16	4	51	31.99996	41
ENSSSAG00000000748	276.381	712.613	309.71	123.819	153.071	138.666
ENSSSAG00000000750	1	1	4	0	0	0
ENSSSAG00000000752	6	5	2	1420	1861	1253
ENSSSAG00000000757	37.9146	120.617	56.8159	11.2707	23.017	14.2872
ENSSSAG00000000759	47.00664	110.7051	100.1209	7.00641	16.00945	11.00134
ENSSSAG00000000762	9	1	15.5023	1	2.24173	4
ENSSSAG00000000763	40	231.841	17.7869	3	19.00004	2
ENSSSAG00000000766	713.9215	2031.8249	871.176	608.81582	692.4456	611.36504
ENSSSAG00000000768	370.956895	694.0002	512.9888712	36.00001	51.00000005	251.78769
ENSSSAG00000000771	0	0	0	0	0	0
ENSSSAG00000000774	624.0486596	1148.8418	531.0243	288.0176375	223.4216331	208.7479
ENSSSAG00000000775	380.657	654.34	524.529	647.588	294.068	503.7
ENSSSAG00000000776	4	19.968	10.0705	2	9	5
ENSSSAG00000000779	0	3.09212	2.07619	0	0	0
ENSSSAG00000000782	105	292	26	0	1	0
ENSSSAG00000000783	7	1.04414	0	0	0	0
ENSSSAG00000000789	442.1477	1307.55	1087.7294	244.7553	313.69094	291.8799
ENSSSAG00000000791	152.3238	366.639	221.92065	53.0469463	37.5999	53.26279
ENSSSAG00000000792	1095.145	2428.999	1078.75	55.99992	30.00809	41.00002
ENSSSAG00000000794	16	14	12	4	2	0
ENSSSAG00000000795	334.0316	1127.85	610.033	408.1194	307.7118	343.1664
ENSSSAG00000000797	0	0	0	0	0	0
ENSSSAG00000000798	932.028484	2522.734894	606.652224	0	1.40327905	3.32678373
ENSSSAG00000000800	2095.121594	4705.977634	1662.4636	118.26713	240.4538889	138.0001
ENSSSAG00000000801	0	1	0	0	0	3
ENSSSAG00000000802	61.0377	163.587	76.4364	24.3525	44.2429	22.9357
ENSSSAG00000000803	0	1.68244	1.52865	0	1	0
ENSSSAG00000000804	184.54215	410.75856	152.99987	29	48.2691	22.99996
