	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3
ENSSSAG00000086543	0	0	0	0	0	0
ENSSSAG00000086547	415.982	1063.92	832.916	403.249	423.243	367.692
ENSSSAG00000086551	0	0	0	0	0	0
ENSSSAG00000086552	384.771	1078.878	463.17	345.7759	364.6847	299.2014
ENSSSAG00000086553	3	3	2	8	6	9
ENSSSAG00000086554	0	0	1.61632	0	0	0
ENSSSAG00000086557	80	163.00047	66	2	3	4.00057
ENSSSAG00000086558	389.4963	682.15531	520.9178	226.0001	239.01134	226.99992
ENSSSAG00000086562	1	27	12	19	17	18
ENSSSAG00000086566	389.3873226	769.3620347	378.9995437	121.5555251	128.0000036	81.00009
ENSSSAG00000086567	509	1306	527.00143	61	79	61
ENSSSAG00000086568	604.056	1599.55	579.756	38.00000043	41.72589	71.63188
ENSSSAG00000086573	90.581	203.72	144.131	89.1677	94.0459	79.9982
ENSSSAG00000086575	27.99999774	69.0001	32.999908	21.617	13.99999478	7
ENSSSAG00000086581	0	1.3626	1.79789	0	0	0.14731
ENSSSAG00000086586	12.5353	52.3092	3.03523	5.25225	7.01762	9.15409
ENSSSAG00000086587	17.30222	10.7835	13.3395	13.9605	27.2695	18.22238
ENSSSAG00000086588	0	0	0	0	0	0
ENSSSAG00000086592	13	3	1	0	0	0
ENSSSAG00000086596	0	0	0	0	0	0
ENSSSAG00000086601	59.9766	430.4863	90.0812974	64.34133	58.64702	52.86995
ENSSSAG00000086603	137.4234	257.2131	121.1166	40.27631244	26.1916413	29.45848917
ENSSSAG00000086604	117.22528	223.14338	150.19279	757.261	971.852	735.963
ENSSSAG00000086606	279.98105	379.3135	106.087509	2.7834	2.20145	0
ENSSSAG00000086607	9.25358	275.118	15.1147	3.85958	5.20311	2.32355
ENSSSAG00000086608	106.47821	2149.10285	48.15867	8.07863	6.27709	2.178966
ENSSSAG00000086609	15.49659	42.72635	46.77375	13.73676	16.93936	10.325283
ENSSSAG00000086615	266.034	854.504	203.6347	63	33.829	44.8828
ENSSSAG00000086616	57.843	92.2228	211.2965815	66.7753	85.6118	178.008
ENSSSAG00000086621	10.4935	15.3923	9.43237	2.66188	1.12786	2.38233
ENSSSAG00000086623	94.4777	207.624	101.759	123.65	169.694	127.798
ENSSSAG00000086625	25.3455	35.9277	22.8216	18.2846	16.8802	8.36847
ENSSSAG00000086626	992.966	1189.18	649.777	0	3.94924	0
ENSSSAG00000086627	2	0	0	1	0	0
ENSSSAG00000086628	149.52999	259.04136	369.30458	21.98321	34.11297	20.828647
ENSSSAG00000086629	215.928	841.46	275.9	93.8017	85.8293	79.8094
ENSSSAG00000086630	0.333333	0.0967742	11.6	0.151515	0.212121	0.166667
ENSSSAG00000086631	169.3977	2271.496	105.1932	17.6709	4.90365	15.103
ENSSSAG00000086632	0	0	2	0	0	0.5
ENSSSAG00000086634	79.74146014	158.7422	86.01996	19.80613	14.55971	20.68326
ENSSSAG00000086636	76.6076	172.6279	65.861621	0	0	3.43814
ENSSSAG00000086637	302.863	1083.19	451.511	177.379	153.904	158.211
ENSSSAG00000086639	506.954	1239.12	871.19512	277.7887	328.5781	215.8869
ENSSSAG00000086641	468.6657	684.03805	332.2786	23.9999963	20.00000235	20.9999983
ENSSSAG00000086642	6.17432	9.13007	738.182	111.684	103.69	75.225
ENSSSAG00000086644	30.8524	34.7825	27.3406	15.2106	5.48296	8.38764
ENSSSAG00000086647	3473.274	6249.996	2838.005	420.00043	342.9996	470.9999
ENSSSAG00000086652	0	0	0	0	0	0
ENSSSAG00000086655	0	0	0	0	0	0
ENSSSAG00000086657	45	85.9143	166.924	120.711	186.954	190
ENSSSAG00000086659	78.2854	173.104	15.2821	0	0	0
ENSSSAG00000086660	1.06917	9.07627	13.581575	44.7765	51.7618	44.12432
ENSSSAG00000086661	156.9701	619.425	54.0089	1	1	0
ENSSSAG00000086662	3.54536	67.3673	0	2.60845	20.9026	3.62406
ENSSSAG00000086667	56.80745	253.144686	159.30421	101.3617	131.09238	101.441
ENSSSAG00000086669	1.00072	3.00039	0	1.01272	0	1.01119
ENSSSAG00000086671	0	0	0	0	0	0
ENSSSAG00000086672	265	714.673	267.288	96.7271	105.948	80.3593
ENSSSAG00000086675	8.11064	38.6818	12.5408	23.2191	38.5602	35.4822
ENSSSAG00000086676	23.1067	25.7176	16.9791	1.06807	1.55139	5.29692
ENSSSAG00000086677	706.558	2345.66	597.687	218.242	255.342	214.948
ENSSSAG00000086679	0	0	0	8.04338	5.64787	12.0612
ENSSSAG00000086680	6304.9931	20126.9991	3358.9988	7	11	15
ENSSSAG00000086684	155.502	167.599	157.684	46.9072	48.3622	16.5356
ENSSSAG00000086685	18.9233	26.5479	23.7714	7.6219	14.3276	4.04938
ENSSSAG00000086686	1.06313	2.10654	0	0	4.21991	0
ENSSSAG00000086687	43.0855	38.0645	43.1875	6.48625	9.01765	14.1277
ENSSSAG00000086688	0	0	0.296353	0	0	0
ENSSSAG00000086690	57.5124	114.163	75.6278	17.3669	8.39042	41.478
ENSSSAG00000086691	0	2.51825	3.745	4.59663	6.82027	4.03864
ENSSSAG00000086692	298.2951	260.4333	58.3349	1	0	0
ENSSSAG00000086693	14.6321	105.059	49.2037	3.65221	4.48612	6.57632
ENSSSAG00000086695	520.0511	1101.339	559.7308	186.1256	212.1215	244.1317
ENSSSAG00000086697	18.5359	53.5053	26.2472	10.7392	9.30335	6.382
ENSSSAG00000086698	164.224	398.443	289.873	893.902	1597.98	1421.87
ENSSSAG00000086702	432.255	1167.7	584.239	206.922	195.81	193.853
ENSSSAG00000086703	294.998	599.56	432.215	279.906	276.05608	265.189
ENSSSAG00000086708	13.31752	43.11274339	47.07890002	8.05938	12.1369	4.08001
ENSSSAG00000086709	22.866	47.5008	13.2943	0	12.6107	0
ENSSSAG00000086710	13.0303	34.10183	27.1435	15.1836	30.3358	25.7646
ENSSSAG00000086712	0	35.4361	7.80526	0	0	1.63396
ENSSSAG00000086715	872.4498	1681.463	736.39286	54.25986	83.69855	63.4552
ENSSSAG00000086716	5	16	4	3	5	2.22436
ENSSSAG00000086719	0	3.95476	2.27287	0	0	0
ENSSSAG00000086720	1362.75	2259.31	1059.44	33.0114	24.3211	31.1352
ENSSSAG00000086726	0	4.04736	3.00459	0	0	0
ENSSSAG00000086729	195.104	365.108	572.567	21.7856	73.8312	15.4457
ENSSSAG00000086730	16.056	28.8236	24.13161021	8.375290018	2.58579	5.90315
ENSSSAG00000086731	547	1303	339	63	54	65
ENSSSAG00000086733	26.3602	77.8894	42.662057	10.4366	7.1227	5.80179
ENSSSAG00000086736	582.603	1379.93	684.079	374.3	353.987	298.94
ENSSSAG00000086739	0	0	1.03884	0.0123385	0	0
ENSSSAG00000086740	523.455	1281.1941	287.7840059	99.3792	122.385	58.97662
ENSSSAG00000086741	204.568	626.1864	218.412	92.776	120.2478	124.77993
ENSSSAG00000086742	36	87	43	4	7	7
ENSSSAG00000086743	0	0	0	0	0	0
ENSSSAG00000086745	14	45	8	3	0	1
ENSSSAG00000086748	572.63793	1306.0002	1075.1606	2280.0023	2876.002	3397.993
ENSSSAG00000086749	436.0005	370.0003	288.0001	0	3	1
ENSSSAG00000086750	45.5411	26.0596	13.1978	13867.5	13768.2	5558.85
ENSSSAG00000086751	4.19795	122.031	18.2385	14.5679	23.4285	8.57841
ENSSSAG00000086753	1	4	6	7	2	5
ENSSSAG00000086754	25.2773	41.0379	18.4305	7.94471	10.59289	6.47433
ENSSSAG00000086755	1024.01	1943.16	595.104	4.08267	8.26985	8.00233
ENSSSAG00000086756	0	0	0	0	0	0
ENSSSAG00000086757	15.2109	22.0286427	25.88	0	1	0
ENSSSAG00000086759	0	1.15701	0	0	1	0
ENSSSAG00000086762	25.84196	47.4932	42.58496	25.14531	4.85334	10.58576
ENSSSAG00000086764	253.74708	190.981605	101.815748	7.3702305	7.1202445	7.5665319
ENSSSAG00000086766	4724.28	4599.63	3501	6	3	3
ENSSSAG00000086767	9380.96	24091.6	6760.46	23	25	31
ENSSSAG00000086770	1	0	0	0	0	0
ENSSSAG00000086771	58.80044	148.4424	78.6117	80.46224	37.28891	20.81886
ENSSSAG00000086772	235.99998	636.99996	123.00001	0	0	0
ENSSSAG00000086773	2.1098	110.124	1.08134	0	1	0
ENSSSAG00000086775	18	10	7	0	0	0
ENSSSAG00000086777	14902.9	32519.5	10923.9	128	97	91
ENSSSAG00000086780	205.174	518.021	225.99	1101.18	650.29	163.962
ENSSSAG00000086783	12.5045	70.0184	20.2612	1.18459	3.76655	1.41846
ENSSSAG00000086785	650.878	1489.55	628.577	158.539	167.348	111.671
ENSSSAG00000086790	107.0031	361.4232	143.02534	57.89211005	57.83479	47.91812
ENSSSAG00000086791	3.94131	56.4654	149.6801	56.35343	24.90971	23.48139
ENSSSAG00000086795	283.483547	608.312284	689.94215	146.6200411	137.846291	135.8570531
ENSSSAG00000086796	94.6144	251.7252	139.2919454	56.45734326	73.609461	32.5812764
ENSSSAG00000086800	0	3	7	0	1	0
ENSSSAG00000086802	5	8	5	7	2	8
ENSSSAG00000086803	1	3	5.31827	1	0	0
ENSSSAG00000086807	5	10	4	23	34	27
ENSSSAG00000086808	0.333333	0.0967742	11.6	0.151515	0.212121	0.166667
ENSSSAG00000086810	469.387	1178.08	596.263	224.227	379.934	245.321
ENSSSAG00000086811	240.1283104	586.8348499	339.8367126	125.59018	86.88157274	97.10717254
ENSSSAG00000086818	823.259	1775.4808	1280.69578	718.2096	759.54846	637.74809
ENSSSAG00000086821	4.18788	10.2219	4.27258	4.07393	2.40181	1.05581
ENSSSAG00000086825	60.2962	64.7395	58.7659	31.9032	41.1807	24.5654
ENSSSAG00000086826	20.8671	17.7974	13.1443	3.75438	2.38417	4.44226
ENSSSAG00000086827	157	1031	90	14	16	15
ENSSSAG00000086828	7.73929	35.66	19.0078	0.294612	0	2.19254
ENSSSAG00000086829	45.0077	69.775	49.0288	2.0013	5.00098	1.00533
ENSSSAG00000086832	0	0	0	0	0	0
ENSSSAG00000086833	19.0104	39	203	8	6	7
ENSSSAG00000086835	1439.245	2100.996	1123.277	14.06218262	41.3063	30.02833
ENSSSAG00000086836	0	9.59444	41.6611	0	2.02189	5.0839
ENSSSAG00000086837	33.6575	20.3528	13.5443	0	0	2
ENSSSAG00000086842	657.118	2062.26	871.735	282.742	355.316	285.537
ENSSSAG00000086843	13.2719	35.7102	24.083	15.0007	24.8768	28.3427
ENSSSAG00000086845	8.18109	23.9659	10.0526	4.05907	1.05911	1.25519
ENSSSAG00000086851	284.0985	1441.633	1099.893	304.332	400.534	285.693
ENSSSAG00000086852	20	82.6849	30.453	6	19.4457	6.46463
ENSSSAG00000086853	0	4.2288	5.79572	1.79079	2.63861	0
ENSSSAG00000086857	16.7786	40.95914	75.23324	32.85385	33.0163	54.3849
ENSSSAG00000086858	250.9999	385.9998	185	2	6	5.00049
ENSSSAG00000086861	98.529883	290.5616901	90.594331	31.508	57.047724	32.4005502
ENSSSAG00000086862	8.29899	12.8191	11.6816	13.7499	1.04069	4
ENSSSAG00000086864	423.78702	977.7577	532.6034	236.91209	201.89499	203.83185
ENSSSAG00000086865	7.1391	67.1787	33.88145	33.10994	37.60727	19.23058
ENSSSAG00000086867	48	82	30	0	0	0
ENSSSAG00000086868	41.7069	22.2163	57.1744	4.13543	3.11399	1.01493
ENSSSAG00000086869	54.5	280	47	18	20.5	81
ENSSSAG00000086871	352.603	412.577	338.75	1906.93	2282.24	837.286
ENSSSAG00000086873	0	0	0	0	0	0.333333
ENSSSAG00000086878	51.1312	78.662	52.821	67.4572	77.5845	50.37386
ENSSSAG00000086879	3.56064	17.3976	6.5921	0	0.104742	1.292860069
ENSSSAG00000086880	11.3334	10.0366	9.76486	5.40707	4.41591	2.37521
ENSSSAG00000086881	19	18	37	14	16	18
ENSSSAG00000086883	306.4301	796.7041	923.4143	53.62940001	137.912	87.3721
ENSSSAG00000086884	105.437	44	66.6121	1	0	0
ENSSSAG00000086885	10.4732	7.85989	1.89588	3.196	1.43345	0
ENSSSAG00000086888	1986.01506	5012.0421	1467.6516	111.94251	103.2564298	102.6409601
ENSSSAG00000086889	0	0	0	0	1	1
ENSSSAG00000086890	6	9	2	1	2	2
ENSSSAG00000086893	98.1915	239.81	59.2205	66.0411	86.5664	48.0344
ENSSSAG00000086896	224.961	482.923	302.757	159.469	132.811	137.848
ENSSSAG00000086899	212.90235	270.6475	95.11703	0	1	0
ENSSSAG00000086900	767.7133471	2538.737	682.2036336	331.6221004	310.4271782	312.9100032
ENSSSAG00000086903	4.04776	8.2266	3.03966	4.08482	1.02602	1.01127
ENSSSAG00000086905	34.46302	40.8356	21.33418	2053.099	2325.3569	1982.1427
ENSSSAG00000086906	30.2224	50.92164	29.99163	17.76935	19.28679	13.92091
ENSSSAG00000086907	230.5524	717.816	212.525	75.853	137.56003	104.702047
ENSSSAG00000086908	6	11	3	0	0	0
ENSSSAG00000086909	7.00402	12.03156	3.0048	5.0301	8	2
ENSSSAG00000086913	207.0005	640.5686	336.4555	112.534	126.9999	124.0004
ENSSSAG00000086914	23.2756	20.3593	23.6415	1	0	0
ENSSSAG00000086919	276.0268	1454.869	408.8559	17	10.7896	13.01519
ENSSSAG00000086920	8.56046	8.64979	10.3618	5.15483	2.09637	2.01085
ENSSSAG00000086921	11.155	77.8851	23.6135	0	0	0
ENSSSAG00000086923	0	0	12	0	0	0
ENSSSAG00000086924	23.05192	39.99999244	130.9491	25.18291	23.99996	29.99997
ENSSSAG00000086926	185.94806	653.93244	281.554	71.1508	74.7053	45.63721
ENSSSAG00000086927	138.44781	311.8415	115.0787	54.14585	43.3428	26.12563
ENSSSAG00000086928	1.11998	2.50823	3.03715	0	1.38835	2.21162
ENSSSAG00000086930	40.628	278.532	179.054	15.6883	10.8147	20.3529
ENSSSAG00000086932	36.4	59.6675	9.39019	0	3.33893	7.925335
ENSSSAG00000086933	14.94714	10.8431	209.8801	209.5905	179.5325	167.6283
ENSSSAG00000086936	2.09304	1.03066	2.86075	0	0	1.08569
ENSSSAG00000086939	0	1.02913	0	1.00109	0	0
ENSSSAG00000086942	3	5	1.12195	0	0	0
ENSSSAG00000086944	0	4.52794	3.85289	0	0	0
ENSSSAG00000086945	302	533	211	11.0048	2.00168	4
ENSSSAG00000086946	4.23804	14.4136	1.59273	4.39919	0	0
ENSSSAG00000086947	116.7964	206.2078	95.6676	13.6584	19.31473	12.5932
ENSSSAG00000086953	47.354	103.673	37.4435	6.17957	14.0578	9.31706
ENSSSAG00000086954	229.428	566.743	128.527	0	1	1
ENSSSAG00000086955	2.22156	25.1742	22.2823	3.20814	2.00742	3.17335
ENSSSAG00000086957	349.4325	2203.40541	271.3117	0	2.31468	1.38784
ENSSSAG00000086961	8.69948	11.2559	22.62184	14.6031	20.68224	3.89293
ENSSSAG00000086964	0	2.27934	0	0	0	2.82942
ENSSSAG00000086966	6.57592	8.99715	5.99881	6.34698	5.18624	18.7115
ENSSSAG00000086971	8	0	0	0	0	0
ENSSSAG00000086972	6.02045	5.38452	1.00118	18.0399	7.00568	3.00376
ENSSSAG00000086975	12.2239	27.4226	12.8834	3.12613	3.25438	10.8199
ENSSSAG00000086976	0	1	1	0	0	0
ENSSSAG00000086977	240.7677	154.08504	85.9128	14.01761	16.12795	24.15365
ENSSSAG00000086980	0	0	1.59186	0	0	0
ENSSSAG00000086983	0	0	0	0	0	0
ENSSSAG00000086984	5.72477	108.508	2.30598	0	5.81457	0
ENSSSAG00000086985	928.3943	2239.8668	832.2382	636.2303	397.93529	347.723
ENSSSAG00000086986	0	6.69846	3.40847	2.5658	3.20762	0
ENSSSAG00000086987	0	3.22958	7.0697	0	0	0
ENSSSAG00000086989	12.3024	11.0077	28.4543	19.2887	45.6216	14.7393
ENSSSAG00000086990	12.06959	31.75239	21.77627	42.1398	77.9675	63.3222
ENSSSAG00000086992	422.0887	887.2984	502.396339	4	5.36312	2.18425
ENSSSAG00000086993	22	45	25	2	4	3
ENSSSAG00000086997	20.9599	94.057	17.0312	57.6877	55.7675	68.744
ENSSSAG00000086998	238.6611	457.25347	381.4337816	239.0157	330.91625	292.47424
ENSSSAG00000087000	1797.2906	4342.730002	1874.6923	2039.411	2190.77	1519.305
ENSSSAG00000087001	48.3761	93.684	35.66444	31.591	19.8573	16.5209
ENSSSAG00000087002	891.8937	3706.6663	1020.99512	615.423481	334.5168	382.26287
ENSSSAG00000087003	21.3216	41.1643	20.4553	2.54011	7.02126	1.01427
ENSSSAG00000087005	315.8614456	754.84703	581.44	380.568	534.729	571.005
ENSSSAG00000087006	0	0	0	0	0	0
ENSSSAG00000087012	29.6074	162.1814	45.2139	9.20336	16.30888	6.67115
ENSSSAG00000087016	848.475	1195.21	526.547	25.0256	36.0049	18.5175
ENSSSAG00000087017	0	0	2.52543	1	0	0
ENSSSAG00000087024	5.24619	36.0796	15.11	32.4356	22.2851	20.6305
ENSSSAG00000087027	0	0	1	0	0	0
ENSSSAG00000087031	79.1837	208	22	0	1	1
ENSSSAG00000087032	43.93065	80.8861	47.92731	25.21442	26.26517	22.53726
ENSSSAG00000087037	82.0567	352.365	72.5369	87.7093	85.8757	67.7617
ENSSSAG00000087039	40.564	37.04946	38.2235	52.02833	78.3199	85.87819
ENSSSAG00000087040	70	165.01	55.0065	18	22	7
ENSSSAG00000087043	48.26327657	289.195001	98.674	32.19560015	356.4436	23.1277
ENSSSAG00000087049	219.553	2484.9	165.916	0	1	0
ENSSSAG00000087050	1	1	0	43.8017	40.6954	36.5961
ENSSSAG00000087053	84	283	179	0	0	0
ENSSSAG00000087054	4.00224	0	3	3	0	3
ENSSSAG00000087059	982.4636	1939.8362	809.04032	73.822	78.97531	80.93393
ENSSSAG00000087064	0	0	0	0	0	0
ENSSSAG00000087065	8.53338	20.9956	11.3324	1.40743	7.23017	8.47818
ENSSSAG00000087066	243.00011	31	15	2	0	1
ENSSSAG00000087068	1	8	1	0	1	4
ENSSSAG00000087075	18.0362	16.1327	8.02457	3.0133	2.00089	3.005
ENSSSAG00000087077	43.0374	173.669	58.7178	11.4264	24.119	14.3625
ENSSSAG00000087078	173.4764	285.545	237.96575	541.719	478.405065	513.3688423
ENSSSAG00000087081	187.4003	354.3655	132.3364	20.7679755	10.0019507	15.0987121
ENSSSAG00000087087	10.4364	47.1203	11.7906	0	0	0
ENSSSAG00000087091	12	25.54387	9.08173	0	1.01238	2.054
ENSSSAG00000087093	28.0962	70.0116	251.02	1.00019	1.00048	0
ENSSSAG00000087097	1380.111	2835.412	1313.828	226.9126	181.3486	200.0543
ENSSSAG00000087098	33.4869	82.4676	24.3971	22.4023	30.2844	21.0872
ENSSSAG00000087100	152.296	363.182	193.218	79.3323	64.1536	66.7911
ENSSSAG00000087101	0	7.59527	0	0	0	0
ENSSSAG00000087102	0	7.48871	0	0	0	0
ENSSSAG00000087103	0	0	0	0	0	0
ENSSSAG00000087105	5.75822	5	4.49865	3	1	3.30358
ENSSSAG00000087106	0	2.86034	3.70409	10.1788	0	8.18367
ENSSSAG00000087114	2325.603	5027.39	2607.017	355.57	353.657	345.991
ENSSSAG00000087115	26.1296	13.0654	8.00024	266.945	195.045	155.862
ENSSSAG00000087124	6.11391	19.7963	10.3183	5.81744	2.80318	2.66811
ENSSSAG00000087130	8	9.09112	11	6.07997	9.06044	7.33079
ENSSSAG00000087132	12.0512	38.2613	7.45342	11.0239	0	2.76303
ENSSSAG00000087133	3323.2448	6759.1843	1928.45892	531.9939	427.3013	427.6416054
ENSSSAG00000087134	13.9491	21.7136	23.763	2.00101	8.7044	11.9078
ENSSSAG00000087136	232.0518	1033.225	481.7721	202.46102	181.02413	177.8212
ENSSSAG00000087142	44.1055	107.304	61.4836	60.3046	32.2912	34.612
ENSSSAG00000087143	54.7748	96.5339	64.5828	91.9405	36.0051	47.6505
ENSSSAG00000087146	14.8275	46.7941	32.2047	7.79512	0	10.2338
ENSSSAG00000087148	0	1	2	0	1	0
ENSSSAG00000087152	11.43	44.5579	0	0	0	0
ENSSSAG00000087153	91.0441	381.631	111.766	11.6238	13.1886	16.78252
ENSSSAG00000087155	184.303	600.238	249.7045	59.5042	74.3539	74.8086
ENSSSAG00000087157	188.648039	269.8366	326.5168	22.76173	46.73071	20.75748
ENSSSAG00000087158	2.60401	7.98126	6.71862	0	1.62587	0
ENSSSAG00000087159	18.001949	303	8.00285	0	0	0
ENSSSAG00000087160	0	6.00129	2.43055	2.27535	0	0
ENSSSAG00000087161	1004.16	1971.49	897.807	4.06482	4.10808	0.59981
ENSSSAG00000087168	241.106	775.077	324.8715	118.2846	146.9806	113.81067
ENSSSAG00000087169	28.1635	43.1339	11.7539	11.9188	5.62701	6.10646
ENSSSAG00000087170	31.7613	21.1463	33.9212	0	4.24138	3.27965
ENSSSAG00000087171	12.573	16.5464	18.759	9.6211	6.7656	14.327
ENSSSAG00000087172	444.635	570.225	437.6744	105.2509	103.2497	105.4956
ENSSSAG00000087179	53.7412	84.6755	38.2674	10.7656	11.9647	12.3455
ENSSSAG00000087182	48	53	5	0	0	0
ENSSSAG00000087183	33.5349	93.2142	22.2261	0	1	0
ENSSSAG00000087184	330.8183	945.7572	482.6542	120.252	130.12916	130.798
ENSSSAG00000087185	126.0129	245.7269	217.6270001	353.2077	386.0384	407.98812
ENSSSAG00000087189	217.204	979.636	976.972	63.5727	65.6004	40.3166
ENSSSAG00000087190	206.703	607.894	211.184	63.4661	69.775	62.7033
ENSSSAG00000087193	1538.1742	6917.5438	556.1507	2.01527	3.01916	7.072140024
ENSSSAG00000087194	24.1205	42.461	12.0477	331	739.465	222
ENSSSAG00000087196	216.1907	281.4034	110.29946	1.23111	7.74582	6.00736
ENSSSAG00000087197	224.012	432.839	398.318	24.664	36.6015	31.8391
ENSSSAG00000087198	1.35121	1.67282	6.107	2.89416	3.26175	0
ENSSSAG00000087199	71.3866	203.549781	218.647	112.92554	155.9823744	138.341459
ENSSSAG00000087202	980.796055	2141.798939	780.1049881	249.5153175	184.7566967	184.5258904
ENSSSAG00000087205	898.6846337	1889.34447	1123.91883	498.7651068	748.3891811	706.2550922
ENSSSAG00000087210	0	2.13669	12.047	2.01576	10.0094	10.0677
ENSSSAG00000087211	52.7786	166.0542	84.34449	22.24696	29.74826	12
ENSSSAG00000087212	5.40308	3.93966	0	0	2.00145	1.98948
ENSSSAG00000087219	6.41649	32.8325	15.5094	2.42361	15.3021	3.24134
ENSSSAG00000087224	110.65427	178.89968	149.06065	40.25698	32.09571	53.20092
ENSSSAG00000087226	123.31129	295.3568	181.18523	39	34.0509	49.9169
ENSSSAG00000087227	437.676	1366.843	620.089	289.559	340.1	283.582
ENSSSAG00000087229	81.545	196.615	388.869	6.17297	6.69346	14.4537
ENSSSAG00000087231	279	182	1041	2659.0017	1122	2175.0018
ENSSSAG00000087232	136.436	332.955	233.646	91.4551	104.031	121.786
ENSSSAG00000087233	0	5.12901	4.77008	0	0	1.42258
ENSSSAG00000087234	0	0	0	0	0	0
ENSSSAG00000087236	63.2775	145.971	912.695	27.3907	44.9388	16.6182
ENSSSAG00000087239	65.8893	145.335	57.4284	19.21603	23.2882	16
ENSSSAG00000087240	944.8381	937.605	365.9930559	12.64342	6.736631534	9.000000015
ENSSSAG00000087243	6.53743	52.1825	0	0	0	0
ENSSSAG00000087244	0	0	0	0	0	0
ENSSSAG00000087246	380.168	570.029	484.29	0	10.456	0
ENSSSAG00000087252	1430.9998	5049.649	1217.0002	356.00055	446.13622	394.0816
ENSSSAG00000087254	0	1.06224	1.43034	0	1.58763	0
ENSSSAG00000087255	176.725	355.12	184.948	15.9635	11.8332	9.04734
ENSSSAG00000087257	688.188	2006.02	651.43	245.121	201.088	172.461
ENSSSAG00000087259	100.333234	271.17293	200.07479	85.472167	71.758069	73.036071
ENSSSAG00000087263	0	1.01659	0	1	0	0
ENSSSAG00000087264	0	1	1	0	0	1
ENSSSAG00000087266	3.48916	8.15572	4.19477	250.0537	442.9839	454.908
ENSSSAG00000087269	81.3255	161.96523	88.06305	5.05295	7.03648	2.02306
ENSSSAG00000087271	2763.73	5337.84	3521.6	5864.86	5320.28	4469.99
ENSSSAG00000087273	230.9119001	231.0222359	124.0000026	0	0	0
ENSSSAG00000087276	2.34446	1.58459	1.28402	0	0	0
ENSSSAG00000087277	59.25882	149.67252	32.25755	7.096136742	16.32240741	14.16495128
ENSSSAG00000087278	21.3296	43.397	41.3345	18.5994	13.6493	21.142
ENSSSAG00000087280	1875.2909	4124.9023	4657.8714	89.6812	68.8545	63.5363
ENSSSAG00000087281	178.0003	180.0003	100	0	0	0
ENSSSAG00000087282	189.724	353.152	192.853	151.424	405.532	161.893
ENSSSAG00000087288	50.0451	258.333	56.2013	7.48934	24.9713	15.9677
ENSSSAG00000087289	1	3	6.64303	0	2	1
ENSSSAG00000087291	22.0012	21	23	13	9	4
ENSSSAG00000087292	576.79702	1193.897285	664.0678369	77.3173535	91.096623	98.070457
ENSSSAG00000087293	22.1122	46.578	25.1553	29.2815	31.498	37.2442
ENSSSAG00000087295	149.99983	313.39855	609.5973	32.18692	38.00461	29.00004
ENSSSAG00000087296	760.0346	2571.858304	1186.0393	143.29365	108.2061	138.97842
ENSSSAG00000087297	49.0017	39.38069	5.04729	74.4804	47.3501	57.4715
ENSSSAG00000087300	525.426	1117	935.412	229.641	319.705	264.422
ENSSSAG00000087301	167.8603	894.549	164.2077	71.2252	136.3303	76.8815
ENSSSAG00000087303	0	0	0	0	0	0
ENSSSAG00000087305	4.13526	14.864	8.44831	2.03522	1.0777	1
ENSSSAG00000087308	0	0	1	0	0	1
ENSSSAG00000087309	52.325	39.81161	46.51704123	35.0824	17.35863	26.08442
ENSSSAG00000087310	161	313	187	63	57	52
ENSSSAG00000087311	1.00449	4.03176	4.03093	5.04679	2.02562	4.02866
ENSSSAG00000087313	212.661	460.367	207.448	16.8588	32.7587	29.8614
ENSSSAG00000087317	27.25461	110.4178	132.402	5.55776	0	4.95836517
ENSSSAG00000087318	205	795	257.0001	52.00005	59	42.00003
ENSSSAG00000087319	10	35	21	6	8	17
ENSSSAG00000087322	2	6.82401	0	0	0	0
ENSSSAG00000087326	277.312	801.8777361	266.5474002	65.3603	68.480948	76.6819
ENSSSAG00000087327	5.1245	8.14297	18.1842	5.7596	8.64749	6.41908
ENSSSAG00000087328	464.0685	233.0737	529.03541	1.00015	2.00171	2.00033
ENSSSAG00000087329	52.4479	139.712	59.0955	14.6006	26.633	37.512
ENSSSAG00000087334	9.19395	10.4882	5.59397	2.94244	1.27349	0
ENSSSAG00000087335	0	3	0	0	0	0
ENSSSAG00000087337	26.00004	40	55	11	7	10
ENSSSAG00000087339	9.00558	9.00106	7.67521	0	0	2.00043
ENSSSAG00000087340	6	32.3419	23	1	5	4.45896
ENSSSAG00000087342	140	267.107	102.107	16.0195	18	27
ENSSSAG00000087343	28.34873	42.23898	38.85911	14.82024	10.54198	2.32034
ENSSSAG00000087344	937.2288611	2305.553	885.1349	330.6527032	344.0545193	328.2396531
ENSSSAG00000087346	0	0	0	0	0	0
ENSSSAG00000087348	3.9999983	10.056511	5.397319	74	65.99998	40.99998
ENSSSAG00000087349	1231	2870.75	792.724	51	49	37
ENSSSAG00000087350	9	15	11	6	2	3
ENSSSAG00000087351	0	0	2	0	0	0
ENSSSAG00000087355	0	0	0	0	0	0
ENSSSAG00000087356	49.4078	115.332	58.3631	15.4325	16.3666	14.4862
ENSSSAG00000087357	19.1039	29.3714	19.1392	15.4557	27.212	9.29972
ENSSSAG00000087358	174.9871	415.4567	302.7624	140.0014	158.2779	126.0012401
ENSSSAG00000087359	0	0	0	0	0	0
ENSSSAG00000087360	52.57473	113.1835	59.2895	83.4014	78.5655	58.782
ENSSSAG00000087361	106.839	68.287	53.753	16.2106	14.8949	6.59407
