Agpat2	89
Agpat3	3696
Agpat4	102
Ahcy	4414
AhcyL1	2811
AhcyL2	0
Ak6	76
Akap200	21658
Akh	2
AkhR	4
Akt1	3907
AlaRS	8090
AlaRS-m	587
Aladin	522
Alas	1199
Ald1	11329
Ald2	0
Aldh	7166
Aldh-III	3566
Aldh7A1	820
Alg-2	560
Alg1	2926
Alg10	453
Alg11	1783
Alg14	103
Alg2	1125
Alg3	656
Alg9	952
Alh	1008
Alk	68
AlkB	133
Alp1	0
Alp10	5
Alp11	14
Alp12	3263
Alp13	0
Alp2	1
Alp4	199
Alp5	1
Alp6	47
Alp7	1
Alp8	3
Alp9	2
Alr	683
Als2	1362
Ama	153
Amacr	243
Amnionless	4
Amph	1156
Amt	65
Amun	3537
Amy-d	57
Amy-p	529
Amyrel	0
Ance	742
Ance-2	16
Ance-3	0
Ance-4	59
Ance-5	27
Andorra	0
Ank	7983
Ank2	29
Ankle2	2571
Anp	16
Ant2	534
Antp	0
AnxB10	3136
AnxB11	1834
AnxB9	7979
Aos1	1553
Apc	8641
Apc2	568
ApepP	995
Apf	109
Apl	1013
Aplip1	26
Apoltp	541
Appl	84
Aprt	186
Aps	3952
Arc1	15787
Arc2	1058
Arc42	1295
Archease	876
Arf102F	737
Arf51F	3667
Arf79F	6807
ArfGAP1	1507
ArfGAP3	2352
Arfip	1267
Arfrp1	255
ArgRS	1358
ArgRS-m	335
Argk	525
Argl	152
Arl1	747
Arl2	265
Arl4	765
Arl5	436
Arl6	1
Arl6IP1	1362
Arl8	1666
Arp1	2493
Arp10	593
Arp2	3214
Arp3	4245
Arp5	679
Arp53D	0
Arp6	1085
Arp8	913
Arpc1	8807
Arpc2	6401
Arpc3A	1225
Arpc3B	521
Arpc4	1404
Arpc5	1450
Arr1	0
Arr2	17
Ars2	3896
Art1	2050
Art2	1
Art3	810
Art4	1383
Art6	0
Art7	699
Art8	127
Art9	0
Arts	1818
Arv1	97
Asap	2314
Asator	291
Asciz	230
Ask1	2189
AsnRS	5743
AsnRS-m	112
AsnS	1297
AspRS	5457
AspRS-m	4053
Asph	191
Ass	0
AstA	6
AstA-R1	1
AstA-R2	0
AstC	0
AstC-R1	0
AstC-R2	0
